Obs.	statenum	casenum	accdate	acctime	speeding	alcres	drugres1	
407	5	89	03152015	0215	0	168	304	
408	5	189	06092015	1311	0	0	1	
409	6	810	04102015	2350	0	996	0	
410	6	2353	12072015	2100	0	996	0	
411	22	428	08192015	0810	1	996	0	
412	48	1125	05232015	1135	1	996	0	
413	17	274	05222015	1048	0	0	1	
414	17	399	04172015	2037	1	0	605	
415	29	647	08142015	1110	0	996	0	
416	4	81	02162015	1240	1	0	1	
417	17	332	04242015	1854	1	996	0	
418	29	159	04132015	2235	0	0	695	
419	39	1011	12312015	1823	0	0	0	
420	40	124	04252015	0331	0	0	300	
421	36	934	12102015	0934	0	995	95	
422	37	639	07192015	0307	1	170	0	
423	37	1244	12232015	2100	1	150	0	
424	45	811	10292015	1420	1	996	0	
425	12	92	01192015	0031	0	280	402	
426	23	133	11232015	1700	0	996	0	
427	5	236	07112015	1250	0	0	187	
428	21	235	05092015	1456	0	0	1	
429	48	3099	12312015	1152	0	190	0	
430	34	448	11132015	0811	0	.	.	
431	5	46	02092015	1955	1	90	304	
432	6	1991	09112015	0445	0	.	.	
433	45	618	09242015	0645	0	.	.	
434	6	1590	09032015	0330	0	.	.	
435	13	54	01182015	0618	0	0	155	
436	17	627	09202015	2100	0	996	0	
437	48	1136	05282015	1147	1	996	0	
438	17	140	04182015	1014	0	144	1	
439	21	324	07132015	1945	1	48	417	
440	25	71	01012015	0130	1	.	.	
441	18	57	02062015	1615	0	0	1	
442	18	423	07262015	0143	0	140	0	
443	26	26	01192015	1600	0	0	1	
444	26	558	08312015	2105	0	996	0	
445	35	32	03222015	1821	0	0	605	
446	46	81	09122015	1640	0	249	0	
447	48	2942	12082015	0735	1	0	1	
448	1	678	12152015	1830	0	0	1	
449	4	519	08162015	1611	0	.	.	
450	6	615	03312015	2140	0	0	600	
451	13	853	09042015	1020	0	996	0	
452	12	422	03072015	1524	1	995	95	
453	30	43	05222015	1718	0	0	1	
454	40	210	06202015	1023	0	0	1	
455	42	1085	12182015	0231	1	997	997	
456	48	2414	10192015	1841	0	996	0	
457	16	13	02172015	0652	0	996	0	
458	12	1510	08122015	1822	0	996	0	
459	49	221	11152015	1801	0	0	1	
460	13	1049	10232015	1739	0	996	0	
461	56	16	03152015	1645	0	230	0	
462	13	1241	12112015	1242	0	0	401	
463	48	1416	06262015	0650	0	0	1	
464	51	651	12112015	2329	1	996	0	
465	21	164	04202015	1538	0	0	1	
466	6	1563	08232015	0442	1	996	0	
467	48	2007	08282015	0221	0	996	0	
468	9	58	04262015	0143	1	0	600	
469	12	1840	09112015	1230	0	996	0	
470	13	305	04012015	2136	0	996	0	
471	21	448	09102015	1530	0	0	1	
472	34	266	09212015	2355	1	996	0	
473	48	742	04112015	0754	0	48	695	
474	6	184	01272015	1830	0	0	605	
475	12	2137	11052015	1745	0	996	.	
476	29	195	04262015	2156	0	305	0	
477	6	796	05252015	0050	1	140	0	
478	45	607	09182015	2030	0	996	0	
479	20	35	02222015	1430	0	996	0	
480	48	1608	07202015	1326	0	0	401	
481	22	484	09242015	0541	0	.	.	
482	6	2904	02032015	1952	0	.	.	
483	12	1000	06032015	1412	0	995	95	
